hour_bin,mean_duration_s,start_count,label
2025-02-21 08:00:00,1630.4,5,CW2
2025-02-21 10:00:00,64.0,1,CW2
2025-02-21 13:00:00,518.0,1,CW2
2025-02-21 14:00:00,58.0,4,CW2
2025-02-21 15:00:00,1709.0,1,CW2
2025-02-21 16:00:00,1772.0,1,CW2
2025-02-21 17:00:00,1654.0,1,CW2
2025-02-21 18:00:00,343.25,4,CW2
2025-02-21 21:00:00,170.0,2,CW2
2025-02-22 04:00:00,2314.0,1,CW2
2025-02-22 05:00:00,274.3333333333333,6,CW2
2025-02-22 06:00:00,690.0,2,CW2
2025-02-22 07:00:00,1128.0,1,CW2
2025-02-22 08:00:00,1933.0,1,CW2
2025-02-22 09:00:00,1511.0,1,CW2
2025-02-22 10:00:00,1594.0,1,CW2
2025-02-22 11:00:00,1857.0,1,CW2
2025-02-22 12:00:00,1574.0,1,CW2
2025-02-22 13:00:00,1464.0,1,CW2
2025-02-22 15:00:00,1547.0,1,CW2
2025-02-22 16:00:00,1526.0,1,CW2
2025-02-22 17:00:00,1553.0,1,CW2
2025-02-22 18:00:00,1551.0,1,CW2
2025-02-22 19:00:00,776.0,2,CW2
2025-02-22 20:00:00,889.5,2,CW2
2025-02-22 21:00:00,909.0,2,CW2
2025-02-22 22:00:00,667.0,2,CW2
2025-02-22 23:00:00,13491.0,1,CW2
2025-02-23 03:00:00,287.0,1,CW2
2025-02-23 04:00:00,1693.0,1,CW2
2025-02-23 05:00:00,460.0,3,CW2
2025-02-23 06:00:00,1823.0,1,CW2
2025-02-23 07:00:00,491.6666666666667,3,CW2
2025-02-23 08:00:00,507.3333333333333,3,CW2
2025-02-23 09:00:00,1607.0,1,CW2
2025-02-23 10:00:00,780.0,2,CW2
2025-02-23 11:00:00,752.5,2,CW2
2025-02-23 12:00:00,1534.0,1,CW2
2025-02-23 13:00:00,1561.0,1,CW2
2025-02-23 14:00:00,1.0,1,CW2
2025-02-23 15:00:00,1457.0,1,CW2
2025-02-23 16:00:00,1397.0,1,CW2
2025-02-23 17:00:00,1481.0,1,CW2
2025-02-23 18:00:00,1506.0,1,CW2
2025-02-23 19:00:00,715.5,2,CW2
2025-02-23 20:00:00,721.0,2,CW2
2025-02-23 21:00:00,733.0,2,CW2
2025-02-23 22:00:00,863.0,2,CW2
2025-02-24 03:00:00,625.0,1,CW2
2025-02-24 04:00:00,1419.0,1,CW2
2025-02-24 05:00:00,1440.0,1,CW2
2025-02-24 06:00:00,1596.0,1,CW2
2025-02-24 07:00:00,1555.0,1,CW2
2025-02-24 08:00:00,1646.0,1,CW2
2025-02-24 09:00:00,1486.0,1,CW2
2025-02-24 10:00:00,1598.0,1,CW2
2025-02-24 12:00:00,1502.0,1,CW2
2025-02-24 13:00:00,1553.0,1,CW2
2025-02-24 14:00:00,1508.0,1,CW2
2025-02-24 15:00:00,1457.0,1,CW2
2025-02-24 16:00:00,2014.0,1,CW2
2025-02-24 21:00:00,134.33333333333334,6,CW2
